prompt_id,audio_status
11,clean
13,clean
17,clean
42,clean
63,clean
136,clean
163,clean
12,clean
143,clean
154,clean
192,clean
99,clean
144,clean
28,clean
97,clean
152,clean
26,clean
57,clean
128,clean
82,clean
27,clean
98,clean
80,clean
129,clean
46,clean
145,clean
53,clean
121,clean
191,clean
19,clean
151,clean
65,clean
179,clean
47,clean
138,clean
68,clean
127,clean
101,clean
58,clean
78,clean
96,clean
183,clean
55,clean
33,clean
156,clean
180,clean
51,clean
106,clean
162,clean
161,clean
155,clean
126,clean
59,clean
170,clean
114,clean
64,clean
181,clean
109,clean
178,clean
113,clean
184,clean
90,clean
56,clean
76,clean
120,clean
52,clean
32,noisy
111,clean
169,clean
168,clean
94,clean
105,clean
50,noisy
193,clean
6,noisy
14,noisy
141,clean
72,noisy
119,clean
190,noisy
159,clean
22,clean
48,noisy
139,clean
95,noisy
74,noisy
44,noisy
137,noisy
189,noisy
158,clean
131,clean
41,noisy
124,noisy
16,noisy
175,noisy
18,clean
142,noisy
40,clean
110,noisy
132,noisy
43,noisy
167,noisy
148,noisy
164,noisy
134,noisy
91,noisy
83,noisy
62,noisy
7,noisy
150,noisy
166,noisy
75,noisy
186,noisy
115,noisy
20,noisy
140,noisy
54,noisy
30,noisy
133,noisy
172,noisy
116,noisy
157,noisy
125,noisy
112,noisy
61,noisy
107,noisy
31,noisy
21,noisy
34,noisy
81,noisy
196,noisy
85,noisy
38,noisy
117,noisy
149,noisy
188,noisy
160,noisy
71,noisy
86,noisy
173,noisy
182,noisy
146,noisy
130,noisy
135,noisy
153,noisy
187,noisy
176,noisy
171,noisy
122,noisy
49,noisy
9,noisy
195,noisy
185,noisy
100,noisy
